Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Brinquedos e Jogos;Brinquedos e Hobbies;Mercado Livre;MLB13429086;Jogo Caiu Perdeu Torre Madeira Equilíbrio Brinquedo Pais & Filhos;20,82;4,8;7201.0;Brinquedos e Hobbies
Brinquedos e Jogos;Brinquedos e Hobbies;Mercado Livre;LBU1747933220;Patinete Princesa Rosa Infantil Luz E Som Menina Rosa Princesa;129,99;4,6;3024.0;Brinquedos e Hobbies
Brinquedos e Jogos;Brinquedos e Hobbies;Mercado Livre;MLB30186210;Garrafa Térmica Aerolight Fast Flow Stanley Tigerlily | 1,1l;338,00;4,9;4623.0;Brinquedos e Hobbies
Brinquedos e Jogos;Brinquedos e Hobbies;Mercado Livre;MLB26213267;Laptop Infantil Educativo Bilíngue Barbie Candide;57,12;4,6;13982.0;Brinquedos e Hobbies
Brinquedos e Jogos;Brinquedos e Hobbies;Mercado Livre;MLB19614953;Patinete Infantil 3 Rodas Dobrável Com Led Conect Brinq Bv0011 Brinquedo Para Crianças Estável, Seguro E Divertido Colorido Azul;89,90;4,5;9017.0;Brinquedos e Hobbies
Brinquedos e Jogos;Brinquedos e Hobbies;Mercado Livre;MLB61988785;Box Pokémon Mega Kangaskhan Ex Português;96,03;4,8;327.0;Brinquedos e Hobbies
Brinquedos e Jogos;Brinquedos e Hobbies;Mercado Livre;MLB51906783;Brinquedo Maquina Bolha De Sabão Pistola Automática C/ Luz Cor Verde;33,52;4,7;2686.0;Brinquedos e Hobbies
Casa;Casa, Móveis e Decoração;Amazon;B07DZ8VXQN;Finish Advanced Detergente para Lava Louças em Pó, Sabão Limpeza Profunda, 1kg;49,9;4,8;20.426;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0BT4Z9LZB;WAP Ventilador de Mesa e Parede 50cm FLOW TURBO, Tecnologia Silenciosa e Econômica, 8 Pás e 3 Velocidades, 180W 127V;185,58;4,4;9.306;Casa
Casa;Casa, Móveis e Decoração;Amazon;B094X2N4HV;Electrolux, Aspirador pó vertical com fio portátil de mão 2 em 1 potente 1450W cabo 6m capacidade 1,6L filtro HEPA Electrolux STK15 127V Cinza Urban Grey STK;185,22;4,7;19.385;Casa
Casa;Casa, Móveis e Decoração;Amazon;B09B16LRD1;MONDIAL Ventilador de Mesa 110V, 30cm, 6 pás, Super Power - VSP-30-B;119,9;4,6;29.852;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07FGYQCKM;Finish Secante para Lava-Louças e Abrilhantador 250ml;40,17;4,8;23.093;Casa
Casa;Casa, Móveis e Decoração;Amazon;B095ZN8T88;Harpic Cloro Forte, Desinfetante e Desodorizador Sanitário, 200ml;5,99;4,6;5.513;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07V7H5VHK;Scott Duramax Pano Reutilizável em Rolo, Branco, 174 Folhas (3 Unidades de 58 Folhas);28,99;4,8;12.655;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0CH8ZG6LC;Ventilador de Coluna Britânia BVT450 Maxx Force 160W 127V;226,87;4,6;11.928;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07VRYJWPB;Finish Advanced Detergente para Lava Louças em Pó, Sabão Limpeza Profunda, 2,5kg;119,19;4,8;20.535;Casa
Casa;Casa, Móveis e Decoração;Amazon;B09B15RDJ6;MONDIAL Ventilador de Mesa 40cm Super Power, Preto/Prata, 140W, 110V - VSP-40-B;149,98;4,6;26.147;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0CSYPRC2Q;Ypê Detergente em Pó para Máquina 1Kg;46,27;4,8;2.725;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07HZNJJCD;Ypê Água Sanitária 5L;19,41;4,8;5.015;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0FFHLXXDN;HEPTA WORLD Ventilador de Coluna 110V/220V, Resfriamento, Silencioso, Design Slim para Casa/Escritório (101, 110V);116;4,1;481.0;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07FPT3MSD;Pato Desodorizador Sanitário Gel Adesivo 2 Refis Marine, Limpeza Banheiro, 12 Discos;21,59;4,8;13.676;Casa
Casa;Casa, Móveis e Decoração;Amazon;B08SYC1QQF;Climatizador de Ar Frio, 60W, 4,5L, Midea Branco 220V, AKAF2;499;4,6;13.546;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0BZWZ2385;Finish Detergente para Lava Louças em pó 700g;31,59;4,8;2.119;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07DZ7JP8L;Limpador Perfumado Veja Flores do Mediterrâneo- 2L;13,19;4,8;4.399;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07HZMBBBQ;Ypê Detergente Neutro 5L;28,79;4,7;3.854;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07NQ9PFKN;Flash Limp - Mop Giratório Fit, Balde 8 litros - MOP5010;;4,6;68.406;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07BSRM75G;Finish Powerball Detergente para Lava Louças, Tabletes com Secante, 30 Tabletes;64,97;4,9;6.839;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07RJYGV3F;Glade Aromatizador de Ambiente Automático, Lavanda e Baunilha, Refil 260ml;27,23;4,8;11.198;Casa
Casa;Casa, Móveis e Decoração;Amazon;B077XDYZNF;Sanol Desinfetante Líquido Para Uso Geral Lavanda 5 Litros Roxo;18,73;4,7;2.928;Casa
Casa;Casa, Móveis e Decoração;Amazon;B098FKK5QD;WAP Detergente Limpador para Extratoras Concentrado WAP LIMPA E EXTRAI 1 LITRO com Fragrância e sem Espuma;56,9;4,8;8.607;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0CNRZCV55;Ar Condicionado Split Hi Wall Inverter Springer Midea Xtreme Save Connect 12000 BTU/h Frio 42AGVCI12M5 – 220 Volts;1899;4,7;43.0;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0DV3P9G5B;Percarbonato de Sódio 100% Puro;15,44;4,7;761.0;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07DTNB6SY;Cif Cremoso Limpeza Milagrosa Remove 100% Da Sujeira 450 Ml;17,99;4,9;15.81;Casa
Casa;Casa, Móveis e Decoração;Amazon;B09B159RYL;Ventilador de Mesa Mondial 220V, 30cm, 6 pás, Super Power - VSP-30-W;99;4,6;8.941;Casa
Casa;Casa, Móveis e Decoração;Amazon;B07N4FX3TC;Lysoform Original, Desinfetante Líquido, Limpeza Casa, 5L;54,9;4,9;16.542;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0CJ5XXJ9F;Jimo Lava Máquinas Lavagem Interna de Lava Louça Limpeza e Higenização Elimina Gordura e Resíduos Detergente Concentrado 2 pastilhas;10,9;4,7;2.34;Casa
Casa;Casa, Móveis e Decoração;Amazon;B0CN9MPXRW;Decolab Manta para Sofá em Algodão com Franjas Artesanais | Cobertor Decorativo para Sofa, Poltrona e Cama | Estilo Boho Chic (Branca-Cru);39,9;4,2;1.239;Casa
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB44395377;Jogo De Lençol Queen Micropercal 400 Fios Sofisticado 3pç Cor Azul-marinho Desenho Do Tecido Liso;32,99;4,7;26650.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB47176254;Tapete 2,00x1,50 Peludo Felpudo Sala E Quarto Cores Cor Bege-mesclado Desenho Do Tecido Pelo Alto;59,30;4,6;39150.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB29614912;Cortina 3,00x2,80 Metros Blackout Blecaute Tabaco Corta Luz Em Tecido Grosso Para Quarto E Sala Casa Laura Enxovais;75,90;4,7;65450.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB16084462;Papel Higiênico Folha Tripla 20 Metros Neve Com 4 Unidades;19,59;4,9;23327.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB41705866;Vittak Kit 50 Cabides Adulto Veludo Slim Antideslizante Organizador Roupas Cor Bege;69,90;4,8;8045.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB27137282;Jogo Conjunto 10 Potes Vidro Hermético Tampa Plástico 370ml Cor Branco Quality House;110,00;4,8;5327.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB53899449;Kit 3 Câmera Lampada De Segurança Ip Wifi Com Visão Noturna Interna Externa App Yoosee Espiã 360º Cor Branco Casenn;169,11;4,7;44503.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB23958420;Detergente Ypê Neutro 5 Litros;34,90;4,9;13424.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB16084373;Papel Higiênico Neve Toque Da Seda Folha Dupla 20 M De 10 Un;54,43;4,9;16870.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB45900673;Capa Para Colchão Impermeavel Matelado King Elástico Antialérgico Protetor Antiácaro Silencioso Não Esquenta Caqui;69,98;4,3;29659.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB22658831;Detergente Ypê Clear 500ml Com 6 Unidades;14,99;4,9;15265.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB16601297;Água Sanitária Super Candida 5l;32,18;4,9;19734.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB47793257;Garrafa Térmica Quick Flip Stanley Preto 710ml;171,89;4,9;9282.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB40655338;Mangueira De Jardim 10m Metros Marqs Home Reforçada Trançada Não Dobra Verde;26,99;4,3;44691.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB48483123;Capa Protetora De Colchão Casal Matelado Impermeável Antiácaro Antialérgico Respirável Macio E Não Esquenta Preto;39,98;4,4;7746.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB36638741;Faqueiro 24 Peças Buzios Inox 23799071 Tramontina Cor Cinza Claro;76,44;4,8;40198.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB51543787;Jogo Lençol 2 Peças Solteiro Hipercal 400 Fios Leve Luxo Cor Branco Desenho Do Tecido Liso;27,13;4,8;8350.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB38307292;Tampa De Vaso Almofadada Assento Oval Plus Slim Universal Cor Bege;39,80;4,2;34353.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB17000921;Brilhante Lava Roupas Líquido Limpeza Total 3 Litros;23,20;4,9;10441.0;Casa, Móveis e Decoração
Casa;Casa, Móveis e Decoração;Mercado Livre;MLB17001015;Omo Lavagem Perfeita Sabão Líquido 3l;34,99;4,9;15980.0;Casa, Móveis e Decoração
CD e Vinil;Música, Filmes e Seriados;Amazon;B00TZD323U;Aqualung [Disco de Vinil];384;4,7;2.551;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0FRC3NSVP;DeB? TiRAR M?S FOToS;919,67;4,3;44.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B01MZCQ0YX;British Steel;342,66;4,8;2.805;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00J3D31ME;Loaded (Vinyl) [Disco de Vinil];318,52;4,7;1.152;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00JVQ7RHI;Greatest Hits [Disco de Vinil];327,45;4,8;11.154;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B003ZZAY44;Seven Songs [Disco de Vinil];221,82;4,9;178.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00EMY2LP2;Jorge Ben, LP África Brasil - Série Clássicos Em Vinil [Disco de Vinil];269,9;4,8;135.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00XLWENRK;Street Survivors [Disco de Vinil];312,79;4,8;393.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00U88WCR8;Blondie;161,82;4,7;483.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0DCYHGV54;Time Out;301,7;4,7;4.505;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0FLQLQMLS;Fire of Love;197,8;4,7;307.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00FEFOLKQ;Duets [Disco de Vinil];183,4;4,7;697.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B09BNWNQ49;Scaled And Icy [Disco de Vinil];288,8;4,8;1.095;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B01GQMJF7O;Crash Anniversary Edition [Disco de Vinil];348,48;4,8;794.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B08QFRKNNJ;evermore [Transparent Green 2 LP];322,35;4,8;14.114;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0741YCRN9;Live At Leeds [Disco de Vinil];183,4;4,7;1.581;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0DLH17K2S;Missionary [VINYL];144,15;4,6;133.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0D9PBYPMP;Hejira (2024 Remaster);180,08;4,7;1.177;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B08XXJJ4JH;Jubilee [Disco de Vinil];358,72;4,7;448.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0BTB77SZ3;Britney;287,79;4,8;376.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B01H2ROWFC;Master Of Reality [Disco de Vinil];294,31;4,8;3.593;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0B8W4XVCF;Girls: The 2nd Mini Album - Alternate Cover;107,37;4,6;78.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B01LTHMF1Y;Wish You Were Here;300,24;4,8;6.751;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B01CDTYFOW;Puberty 2 [Disco de Vinil];253,4;4,8;1.166;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00TRP2SI6;Motörhead - No Sleep 'Til Hammersmith [Disco de Vinil];342,66;4,8;839.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0DFX611RV;From Zero [CD];75,77;4,8;3.795;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B007BWUKXW;Bedtime Stories [Disco de Vinil];321,84;4,8;1.469;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B0FVNV8CK3;Lux [VINYL];467,57;4,6;684.0;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B00005Q4JH;Invincible;104,85;4,8;1.2;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Amazon;B01LQDMUDY;Talking Book [Disco de Vinil];30800;4,8;1.398;CD e Vinil
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1985638071;Vil Limp - Escova De Limpeza Discos De Vinil Lp Erpires;48,30;4,7;229.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1479080293;Vinil Lps 100 Plásticos - 50 Extra Grosso 0,20 + 50 Internos;71,15;4,9;1180.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1411923681;25 Plasticos Externos 0,20 Grosso P/ Lp Vinil Capa Gatefold;34,24;4,9;312.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1980755752;Vilcleaner - Limpador De Discos De Vinil Lp Erpires;187,00;4,7;105.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;MLB5314315682;Tubo Ressonância Lax Vox Silicone Exercicio Vocal 35cm C/nf;19,39;4,9;192.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;MLB3295540797;Plastico Vinil Lp 100 - 50 Externos 0.12 + 50 Interno;49,90;4,8;205.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1128276713;Lp Ndee Naldinho Preto Do Gueto Azul 50 Anos De Hip Hop Estandar;187,98;4,9;25.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1423857732;Plastico Vinil Lp 50 - 25 Externos 0,10 + 25 Internos;29,90;4,9;97.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;MLB57357830;Plastico Vinil Lp 200 - 100 Externos 0.15 + 100 Interno;98,90;4,8;743.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1415954188;Plastico Vinil Lp Externo 0,10 - 50 Unidades;26,90;4,8;49.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1728995065;Cartão Pré-pago Netflix Digital - R$ 35, Leia Descrição;52,20;4,9;132.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU3583813645;Pack 4000 Músicas Para Ouvir No Carro Download Imediato Edição Limitada;22,97;3,9;7.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;MLB2020183662;Stray Kids - Álbum De Hip-hop E Skzhop [skzhop] /.um.;19,15;4,9;30.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1985624593;Escorredor Para Discos De Vinil Erpires;78,00;4,7;90.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU3494970110;10 Plásticos Vinil Lp Duplo Double Gatefold 2 Bocas Duplo Gatefold 0.20;34,90;4,8;59.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1411966255;Plastico Vinil Grosso 50 - 25 Externos 0,20 + 25 Internos;37,28;4,9;165.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;MLB5308486228;Hinário Ccb 5 Cifrado Para Violão, O Melhor De Todos.;145,53;4,9;175.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;LBU1415832262;15 Plasticos Externo Lp Vinil Gatefold + 15 Internos;29,62;4,8;212.0;Música, Filmes e Seriados
CD e Vinil;Música, Filmes e Seriados;Mercado Livre;MLB3148939176;Plastico Vinil Lp Interno - 100 Unidades;32,10;4,9;83.0;Música, Filmes e Seriados
Computadores e Informática;Informática;Amazon;B08WKPK952;Cartucho de tinta HP 667 Preto Original (3YM79AB) Para Impressora Deskjet 2376, 2776, 6476, 5076, 5276;53,1;4,7;14.21;Computadores e Informática
Computadores e Informática;Informática;Amazon;B074L9L5KZ;Mouse sem fio Logitech M170 com Design Ambidestro Compacto, Conexão USB e Pilha Inclusa - Preto;45;4,8;66.338;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0C1L2R4HH;Impressora Multifuncional HP Smart Tank 581 Tanque de Tinta Colorida Wi-Fi, USB - Alta Economia -Copiadora e Scanner (4A8D5A);726,93;4,7;5.575;Computadores e Informática
Computadores e Informática;Informática;Amazon;B074HMBWQG;Cartucho de Tinta HP 664 Preto Original (F6V29AB) Para Impressora Deskjet 2136, 2676, 3776, 5076, 527;55,76;4,7;20.455;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0DTJKLBBQ;Mouse Sem Fio Logitech M240 com Conexão Bluetooth, Clique Silencioso, Design Ambidestro Compacto, Bateria de 18 Meses, Compatível com Windows, macOS, ChromeOS - Preto;59,9;4,8;9.172;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0DKC8GR52;Cabo USB-C 2 metros Tipo C Turbo 60W Ultra Rapido Nylon Trançado e Reforçado Android e Iphone Notebook Tablet Qualidade Premium Carregamento Transferência de Dados;12,89;4,4;590.0;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0FHCHBRGF;"Notebook Dell Inspiron I15-I1300-A30P 15.6"" Full HD 13ª Gen Intel Core i5 8GB 512GB SSD Win 11 Preto Carbono";3226,81;4,6;600.0;Computadores e Informática
Computadores e Informática;Informática;Amazon;B098YHFT9S;Epson EcoTank L3250 - Multifuncional, Tanque de Tinta Colorida, Wi-Fi Direct, USB, Bivolt, Preto;1044,05;4,8;27.459;Computadores e Informática
Computadores e Informática;Informática;Amazon;B098YX5SP2;Epson, Multifuncional, Ecotank L4260 - Tanque de Tinta Colorida, Wi-Fi Direct, Frente e Verso Automático, Bivolt;1161,57;4,7;8.217;Computadores e Informática
Computadores e Informática;Informática;Amazon;B01N35N6ZC;Base para Mouse, Maxprint;3,82;4,6;3.303;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0DWMZ9PPQ;Mochila de Viagem Expansivel Masculina Feminina, Mochila Para Notebook Executiva Impermeável Reforçada Cabo USB,Mochilas Trabalho Escola Viagens Presente;;4,8;1.546;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0FLZ2T78C;Top 1 Webcam Premium Full HD 1080p com Microfone, USB Plug & Play, Foco Automático – Para PC, Notebook, Zoom, Teams, Meet Skype YouTube Discord e Mais – Ideal para Home Office Reuniões e Videochamadas;29,9;4,4;343.0;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0F1C2GCK4;Suporte para Notebook e Tablet Linha Premium em Alumínio Dobrável e Ergonômico Para Desktop Portátil Ajustável em 6 Ângulos com Altura Regulável Leve Apoio Universal - Com estojo para armazenagem;21,9;4,6;564.0;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0DLPF751L;AOC, Monitor Gamer G4 27” 180Hz, 27G4/P, 0,5ms IPS, com Ajuste de Altura;799;4,8;1.138;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0CJ3BDN7T;Mouse sem fio Logitech Pebble 2 M350s com Clique Silencioso, Design Slim Ambidestro, Conexão Bluetooth e Pilha Inclusa - Grafite;79,9;4,8;5.595;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0BPTK4P38;Dell - KM3322W, Teclado e Mouse sem fio, Preto;129,98;4,7;9.17;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0D6NLHV8N;JBL, Fone de Ouvido Com Fio, Quantum 100M2, Headset Gamer, Over Ear, Microfone Removível - Preto;188,22;4,6;5.173;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0F1G2TL8P;Mouse Sem Fio Recarregável Wireless Bluetooth Optico Led Rgb Colorido Ergonômico Usb 2.4 Ghz Notebook Computador Pc Desktop Linha Premium - Cores Sortidas;19;4,5;754.0;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0754JVBGJ;Pen Drive Twist 16GB USB Leitura 10MB/s e Gravação 3MB/s Preto Multi - PD588;23,99;4,7;36.802;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0BGJR1R3B;Cabo de carregador de iPhone Fast/Carga Rápida USB C Lightning Cabo Certificação MFi Tipo C Cabo de Carregamento para iPhone 13/13 Pro /12/12 Pro/Max/11/11Pro/XS/Max/XR/X/8/8Plus;11,95;4,2;2.543;Computadores e Informática
Computadores e Informática;Informática;Amazon;B07643MPGS;Combo Teclado e Mouse sem fio Logitech MK235 com Conexão USB, Pilhas Inclusas e Layout ABNT2;119,9;4,7;20.571;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0CJ3WFW9H;Teclado sem fio Logitech Pebble Keys 2 K380s com Conexão Bluetooth Easy-Switch e Pilha Inclusa - Compatível com PC, Mac, Chrome OS, Android, iOS e Apple TV, Layout US - Grafite;179,9;4,8;4.046;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0765KZ264;ELG, F80N, Suporte Articulado de Mesa, Pistão a Gás, Design Compacto e Retrátil, Ergonômico, Monitores 17'' a 35'', 2kg a 9kg, Preto;169;4,9;37.098;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0DF2WSGF6;Monitor PC Gamer LG 24MS500 24” IPS 100Hz Full HD HDMI 2x;528;4,8;2.377;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0BQX6DVWY;HD Externo Toshiba 1TB Canvio Basics Preto HDTB510XK3AA;325,9;4,8;6.207;Computadores e Informática
Computadores e Informática;Informática;Amazon;B08HM6TLXM;Cabo USB-C em nylon 1,5 m EUAC 15NB Branco Intelbras;31,9;4,8;6.412;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0F3LTWYS5;"Tablet Samsung Galaxy Tab S10 FE, Cinza, 128GB, 8GB RAM, Tela Imersiva de 10.9"" 90Hz, Camera Traseira de 13MP, Câmera Frontal de 12MP Ultra Wide, Wifi 6, IP68, Android 15";2514,88;4,9;1.624;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0F2N7L7HQ;Romantic Crown Mochila de Viagem Expansivel Masculina Feminina, Mochila Para Notebook Executiva Impermeável Reforçada Cabo USB, Trabalho, Escola, Viagens;;4,7;776.0;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0FLR3XNBZ;Adaptador Usb Wifi Wireless Dual Band Ac1200 5ghz e 2.4ghz 1200mbps Duas Antena - Qualidade Premium Ezc®;29,9;4,2;221.0;Computadores e Informática
Computadores e Informática;Informática;Amazon;B0DF8VTNHM;Garrafa De Tinta Original Epson Ecotank T544 Preto - T544122;54,59;4,9;1.415;Computadores e Informática
Computadores e Informática;Informática;Mercado Livre;MLB50198558;Sony Playstation Gift Card (digital);250,00;5,0;27853.0;Informática
Computadores e Informática;Informática;Mercado Livre;MLB48939442;Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Davely Cinza;23,76;4,8;67457.0;Informática
Computadores e Informática;Informática;Mercado Livre;MLB38002856;Papel Opaline Preto A4 180g 500 Folhas Masterprint Liso P/ Impressão;237,60;4,9;33829.0;Informática
Computadores e Informática;Informática;Mercado Livre;MLB36022503;Papel Reciclado A4 75g Caixa Com 5 Resmas Reciclato Report;259,92;4,8;22992.0;Informática
Computadores e Informática;Informática;Mercado Livre;MLB25853445;Filamento Pla Vsilk Azul Titanium 1kg High Speed Impressão 3d Azul Titanium V-silk;126,91;4,9;19948.0;Informática
Computadores e Informática;Informática;Mercado Livre;MLB63974984;Filamento Pla Plus 1kg Impressão 3d Nacional - Cores Cor Branco;219,30;4,6;1399.0;Informática
Computadores e Informática;Informática;Mercado Livre;MLB42483473;Base Suporte Para Notebook Alumínio Portátil Articulado Dobrável Tablet Laptop Mesa Davely Preto;29,00;4,8;7279.0;Informática
Cozinha;Eletrodomésticos, Casa, Móveis e Decoração;Amazon;B0CDJ4L7CZ;Sanduicheira Elétrica Cadence Click - 127V;109,9;4,8;22.917;Cozinha
Cozinha;Eletrodomésticos, Casa, Móveis e Decoração;Amazon;B0F256HPZJ;Filtro/Refil Original de Água Acqua Pure para Purificador Electrolux PE12A/PE12B/PE12G/PE12V/PE12P;65,9;4,8;242.0;Cozinha
Cozinha;Eletrodomésticos, Casa, Móveis e Decoração;Amazon;B09XJL4B9H;Electrolux, Pote Hermetico, 12 unidades, A23122901, cinza;89,9;4,9;48.152;Cozinha
Cozinha;Eletrodomésticos, Casa, Móveis e Decoração;Amazon;B08X66RQ48;Purificador de Água Gelada Fria e Natural Elétrico Compacto Eletronico placa Electrolux Filtro refil 6 meses ou 3000l Painel Touch Bivolt Grafite PE12G;582;4,7;23.971;Cozinha
