Categoria_Amazon;Categorias_ML_Correlacionadas;Fonte;ASIN;Nome;Preço;Nota;Avaliações;Categoria_Original
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB15067116;Whey Protein Concentrado Pó 1,8 Kg Dux Nutrition Sabor Coco;309,80;4,9;36771.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB41797545;12 Agua Mineral Com Gas Legítima Lindoya Verão Garrafa 500ml;18,65;4,9;3481.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB18405804;Azeite De Oliva Extra Virgem Andorinha 500ml;50,00;4,9;35358.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB18405458;Azeite De Oliva Extra Virgem Terras De Camões Vidro 500ml;38,99;4,8;24272.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB35600177;Pasta De Amendoin Dr Peanut Power Cream Whey Protein 600g Sabor Leite Em Pó;78,90;4,9;44925.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB34178051;Café Torrado E Moido União Tradicional Pouch 500g;25,72;4,9;4272.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB27020048;Suplemento Em Pó Cretaina 150g Black Skull Turbo Caveira Preta Sabor Sem Sabor;20,92;4,7;115026.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB18309185;Creme De Leite Leve Uht Homogeneizado Caixa 200g Italac;3,00;4,9;6540.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB18390354;Feijão Carioca Tipo 1 1kg Camil;19,69;4,9;10040.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB26643973;Azeite O-live Extra Virgem 450ml Acidez Máxima 0.4%;27,99;4,9;4904.0;Alimentos e Bebidas
Alimentos e Bebidas;Alimentos e Bebidas;Mercado Livre;MLB18393188;Café Torrado E Moído Tradicional Caixa 500g Melitta Intenso A Vácuo;32,86;4,9;5739.0;Alimentos e Bebidas
