Categoria_Amazon;Categorias_ML_Correlacionadas;Produto_Amazon;ASIN_Amazon;Status
Automotivo;Acessórios para Veículos;Protetor Solar Para-brisa, Quebra Sol Portátil, Proteção Térmica UV, Protetor Solar com Isolamento Térmico, Retrátil, Protetor Térmico Para Carro, Protetor Dobrável Preto para Carro;B0F6ZG5BJJ;Agrupado por categoria
Automotivo;Acessórios para Veículos;vonixx CARNAUBA TOK FINAL 500ML;B07Y5LQGLC;Agrupado por categoria
Automotivo;Acessórios para Veículos;CAPACETE FECHADO PRO TORK SPORT MOTO 788 PRETO - BRANCO TAM. 56;B07YDW6YXS;Agrupado por categoria
Automotivo;Acessórios para Veículos;"Bosch Jogo de Palhetas Dianteiras Aerofit AF178 para Limpadores de Para-brisa com Tratamento de Grafite, 20"" 500 mm e 20"" 500 mm, Par";B07Y5QM77S;Agrupado por categoria
Automotivo;Acessórios para Veículos;CAPACETE FECHADO PRO TORK NEW LIBERTY 4 SOLID PRETO FOSCO TAM. 58;B07CYRXDZR;Agrupado por categoria
Automotivo;Acessórios para Veículos;Kit 100 Presilhas e Grampos Universais para Parabarro, Parachoque e Forro de Porta – Fixação Automotiva Reforçada, Ideal para Acabamento Interno e Externo do Carro;B0FWCBD9M7;Agrupado por categoria
Automotivo;Acessórios para Veículos;Protetor Solar Para-brisa, Quebra Sol Portátil, Proteção Térmica UV, Protetor Solar com Isolamento Térmico, Retrátil, Protetor Térmico Para Carro, Protetor Dobrável Preto para Carro;B0FWNKVTSN;Agrupado por categoria
Automotivo;Acessórios para Veículos;Rodabrisa Gel Carro Novo;B07VLT6HM2;Agrupado por categoria
Automotivo;Acessórios para Veículos;Termometro Industrial Culinaria a Laser Para Forno Freezer -50º A 380ºC Digital Sem Contato LCD Termômetro Infravermelho Pirômetro de Testador De Temperatura IR Industrial com Emissividade Ajustável;B09SZKKHZ5;Agrupado por categoria
Automotivo;Acessórios para Veículos;Limpa Estofados ZIP spray 300ml, MY PLACE, AE2500011;B07RRYYBWG;Agrupado por categoria
Automotivo;Acessórios para Veículos;Proauto Limpa e Hidrata Couro 150 g;B07JPJKHSH;Agrupado por categoria
Automotivo;Acessórios para Veículos;vonixx Shampoo Automotivo Concentrado 1:400 V-floc 3 Litros;B08N844668;Agrupado por categoria
Automotivo;Acessórios para Veículos;GLACO BIG 120ml;B07YCLFHQW;Agrupado por categoria
Automotivo;Acessórios para Veículos;Capa de Cobrir Moto em Couro Protetora Impermeável Anti-uv (SCOOTER ELÉTRICA);B0CB4MT1DZ;Agrupado por categoria
Automotivo;Acessórios para Veículos;Protetor Para,Sol Universal com Superficie Refletiva, Tramontina;B07WSFY5MM;Agrupado por categoria
Automotivo;Acessórios para Veículos;Rodabrill Sache Aromatizante England;B07VS8XC9X;Agrupado por categoria
Automotivo;Acessórios para Veículos;vonixx REVOX 500ML;B07Y5M2YXJ;Agrupado por categoria
Automotivo;Acessórios para Veículos;CAPACETE PRO TORK R8 FOSCO 60 CZ/RS;B07QV2LHS3;Agrupado por categoria
