Plataforma;Qtd. de produtos;Qtd. de categorias;Qtd. total de avaliações;Média de avaliações por produto;Comentários totais coletados;Média de notas
Amazon;1216;25;151403.21;124.92;11895;4.65
Mercado Livre;460;28;9768302.0;21235.44;4673;4.79
