Posição;Subcategoria;ASIN;Nota Geral;Qtd. Avaliações;Data Comentário;Nome;Preço à vista;Nota;Comentário;Link
1;GAMES;MLB27646246;4,7;8931;N/A (Coleta ignorada);Controle Sem Fio Ps4 Sony Dualshock 4 Azul;235,55;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/controle-sem-fio-ps4-sony-dualshock-4-azul/p/MLB27646246
2;GAMES;MLB18917848;4,9;36432;N/A (Coleta ignorada);Controle Dualsense Cfi-zct1 Sem Fio Ps5 Galactic Purple;589,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/controle-dualsense-cfi-zct1-sem-fio-ps5-galactic-purple/p/MLB18917848
3;GAMES;MLB44238532;4,9;5389;N/A (Coleta ignorada);Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Hall Effect Cor Azul Celeste;199,94;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-hall-effect-cor-azul-celeste/p/MLB44238532
4;GAMES;MLB37121958;4,8;26835;N/A (Coleta ignorada);Creatina 300 Gr - Max Titanium Sabor Sem Sabor;59,90;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/creatina-300-gr-max-titanium-sabor-sem-sabor/p/MLB37121958
5;GAMES;MLB45121807;4,8;288;N/A (Coleta ignorada);Capa Para Xbox Series X Anti Poeira Vertical - Cor 001;49,99;N/A;Coleta de comentários ignorada;https://www.mercadolivre.com.br/capa-para-xbox-series-x-anti-poeira-vertical-cor-001/p/MLB45121807
